diag_chapter,encounters,insulin_pct,metformin_pct,change_pct
Circulatory,30335,50.96,17.64,45.49
Endocrine_Metabolic,11459,69.84,16.05,53.52
Respiratory,10407,60.4,22.16,53.73
Digestive,9208,50.7,13.18,33.58
Symptoms_Signs,7636,42.64,21.96,39.35
Injury_Poisoning,6972,53.27,20.21,46.73
Genitourinary,5078,54.0,15.91,44.72
Musculoskeletal,4957,42.42,34.48,49.83
Neoplasms,3433,48.97,21.85,42.62
Infectious,2768,62.9,14.52,47.76
Skin,2530,57.91,28.85,57.23
Mental,2262,42.0,33.86,46.73
Supplementary,1644,44.34,25.49,46.17
Nervous_System,1211,49.13,27.58,46.82
Blood,1103,48.59,18.77,44.7
Pregnancy,687,60.55,6.26,35.37
Congenital,51,58.82,37.25,54.9
Unknown,21,42.86,23.81,38.1
External_Injury,1,100.0,0.0,100.0
