medication,no_count,steady_count,up_count,down_count,prescribed_count,prescription_pct,dose_changed_count,dose_changed_pct
insulin,47380,30849,11316,12218,54383,53.44,23534,43.27
metformin,81776,18345,1067,575,19987,19.64,1642,8.22
glipizide,89078,11355,770,560,12685,12.47,1330,10.48
glyburide,91113,9274,812,564,10650,10.47,1376,12.92
pioglitazone,94436,6975,234,118,7327,7.2,352,4.8
rosiglitazone,95399,6099,178,87,6364,6.25,265,4.16
glimepiride,96572,4670,327,194,5191,5.1,521,10.04
repaglinide,100224,1384,110,45,1539,1.51,155,10.07
glyburide-metformin,101057,692,8,6,706,0.69,14,1.98
nateglinide,101060,668,24,11,703,0.69,35,4.98
acarbose,101455,295,10,3,308,0.3,13,4.22
chlorpropamide,101677,79,6,1,86,0.08,7,8.14
tolazamide,101724,38,1,0,39,0.04,1,2.56
miglitol,101725,31,2,5,38,0.04,7,18.42
tolbutamide,101740,23,0,0,23,0.02,0,0.0
glipizide-metformin,101750,13,0,0,13,0.01,0,0.0
acetohexamide,101762,1,0,0,1,0.0,0,0.0
troglitazone,101760,3,0,0,3,0.0,0,0.0
citoglipton,101763,0,0,0,0,0.0,0,0.0
examide,101763,0,0,0,0,0.0,0,0.0
glimepiride-pioglitazone,101762,1,0,0,1,0.0,0,0.0
metformin-rosiglitazone,101761,2,0,0,2,0.0,0,0.0
metformin-pioglitazone,101762,1,0,0,1,0.0,0,0.0
