medical_specialty,encounters,changes,change_pct
Podiatry,100,73,73.0
Psychology,101,67,66.34
Surgery-Thoracic,109,70,64.22
Emergency/Trauma,7565,4568,60.38
Surgery-Cardiovascular/Thoracic,652,380,58.28
Surgery-Vascular,533,293,54.97
Pulmonology,871,440,50.52
Orthopedics,1400,704,50.29
Surgery-Neuro,468,222,47.44
Orthopedics-Reconstructive,1233,583,47.28
Neurology,203,94,46.31
Family/GeneralPractice,7440,3438,46.21
Unknown,49947,22837,45.72
Surgery-General,3099,1417,45.72
InternalMedicine,14635,6433,43.96
Psychiatry,854,375,43.91
Radiologist,1140,496,43.51
Otolaryngology,125,54,43.2
Endocrinology,120,50,41.67
Gastroenterology,564,233,41.31
Cardiology,5351,2198,41.08
Oncology,348,139,39.94
PhysicalMedicineandRehabilitation,391,154,39.39
Urology,685,269,39.27
Nephrology,1613,629,39.0
Pediatrics,254,97,38.19
Hematology/Oncology,207,76,36.71
ObstetricsandGynecology,671,195,29.06
Pediatrics-Endocrinology,159,29,18.24
